"","state","naics","emp"
"898","Oregon","55",65040
"899","Oregon","56",47910
"900","Oregon","61",210060
"901","Oregon","62",382980
"902","Oregon","71",22010
"903","Oregon","72",110540
"904","Oregon","81",58450
"905","Oregon","99",141210
"906","Pennsylvania","11",180
"907","Pennsylvania","21",7780
"908","Pennsylvania","22",18910
"909","Pennsylvania","23",84220
"910","Pennsylvania","31",141120
"911","Pennsylvania","32",59120
"912","Pennsylvania","33",122410
"913","Pennsylvania","42",222700
"914","Pennsylvania","44",446250
"915","Pennsylvania","45",149650
"916","Pennsylvania","48",35530
"917","Pennsylvania","49",12710
"918","Pennsylvania","51",83520
"919","Pennsylvania","52",359040
"920","Pennsylvania","53",43470
"921","Pennsylvania","54",571660
"922","Pennsylvania","55",179550
"923","Pennsylvania","56",141010
"924","Pennsylvania","61",836700
"925","Pennsylvania","62",1684640
"926","Pennsylvania","71",57730
"927","Pennsylvania","72",249700
"928","Pennsylvania","81",175640
"929","Pennsylvania","99",292960
"930","Puerto Rico","23",7550
"931","Puerto Rico","31",23030
"932","Puerto Rico","32",10970
"933","Puerto Rico","33",6750
"934","Puerto Rico","42",31370
"935","Puerto Rico","44",102540
"936","Puerto Rico","45",18540
"937","Puerto Rico","48",3310
"938","Puerto Rico","49",580
"939","Puerto Rico","51",10570
"940","Puerto Rico","52",40810
"941","Puerto Rico","53",6150
"942","Puerto Rico","54",33780
"943","Puerto Rico","55",16290
"944","Puerto Rico","56",13390
"945","Puerto Rico","61",116160
"946","Puerto Rico","62",109600
"947","Puerto Rico","71",710
"948","Puerto Rico","72",31580
"949","Puerto Rico","81",5060
"950","Puerto Rico","99",84760
"951","Rhode Island","23",3260
"952","Rhode Island","31",9800
"953","Rhode Island","32",2300
"954","Rhode Island","33",6440
"955","Rhode Island","42",19110
"956","Rhode Island","44",34480
"957","Rhode Island","45",5680
"958","Rhode Island","48",1100
"959","Rhode Island","49",200
"960","Rhode Island","51",2710
"961","Rhode Island","52",31780
